Error Code,Error Description
10755,Record Type FC - Action Performed is invalid for an amendment
10760,Data file is empty
10765,Record Type PA - Invalid cross-border country code
10770,Application has no technical data
10775,Record Type FR - Zero number of units is invalid for Land Mobile frequencies
10780,Record Type OP - Invalid record type when location area of operation is not Other
10785,Record Type LO - Area of operation is invalid for a fixed location
10790,Record Type AT - File name is null
10795,Record Type LO - Microwave applications can have only one transmitter location
10800,Record Type HD - ULS file number is only valid when application is an amendment
10805,Record Type HD - ULS file number must be numeric
10810,Record Type LO - Invalid location number
10815,Record Type AN - Invalid antenna number
10820,Record Type FR - Invalid frequency number
10825,Record Type FC - Frequency Coordinator Name is invalid
10830,Record Type FC - Null is invalid for positions 5-9
10835,Record Type EN - SGIN must be three characters and cannot contain spaces
10840,Invalid Record Type when application purpose is withdrawal
10845,Applicant Type cannot be changed.
10850,Invalid SGIN for Licensee ID
10855,Record Type CP - Invalid action when application purpose is New
10860,Record Type AS - Associated call sign is missing
10865,Record Type EN - Dollar sign is invalid because there is no existing contact data to delete
10870,Record Type AD - Position 15 Major Minor indicator must be sent as null
10875,This application can only be withdrawn by the applicant
10880,"Date of Birth is not valid for Clubs, Military Recs, and RACES."
10885,"Record Type EN - FRN, position 23, must be all numeric"
10890,TIN must be a 9-digits.
10895,"Provide one and only one of the following: FRN, TIN/SGIN, or Licensee ID/SGIN."
10897,FRN Required. TIN/SGIN and Licensee ID/SGIN is no longer valid
10900,Invalid FRN/Password
10905,"Date of Birth must be mm/dd/yyyy format with valid month, day, and year values."
10910,Record Type FR - This application has already set this frequency's action to D
10915,Invalid Licensee ID or Licensee ID/SGIN combination
10920,Record Type AN - This application has already set this antenna's action to D
10925,Record Type LO - This application has already set this location's action to D
10950,Assigned TINs Are No Longer Valid in ULS; send FRN
10955,Record Type EM - This application has already set this emission's action to D
10960,Applicant Type on the application does not match the applicant type on the license.
10965,License is registered to different FRN
10970,Maximum size for attachments submitted via ULS and ASR is 10 MB.
10975,You must provide an attachment [other than a waiver attachment type] that provides justification concerning your exemption from FCC Application and/or Regulatory Fees.  Refer to the Fee Filing Guide to review fee exemptions.
10980,Unique System identifier must be null
10985,"ULS File Number must be null on all record types except ""HD"""
10990,"Call Sign must be null for all record types except ""HD"""
10995,Record Type HD - License Status must be null
11000,Record Type HD - Grant Date must be null
11005,Record Type HD - Expired Date must be null
11010,Record Type HD - Cancellation Date must be null
11015,Record Type HD - Effective Date must be null
11020,Record Type HD - Last Action Date must be null
11025,Record Type AD - Application Status must be null
11030,Record Type AD - Source must be null
11035,Record Type AD - Receipt Date must be null
11040,Record Type AD - Major Minor indicator must be null
11045,Record Type AD - Original Application Purpose must be null
11050,Record Type AD - Fee Control Number must be null
11055,Record Type AD - Date Entered must be null
11060,Record Type AD - Reason must be null
11065,Record Type AD - Overall Change Type must be null
11070,Record Type CG - Coast/Ground Identifier must be null.
11075,Record Type CG - Selective Call Sign Ident must be null.
11080,Record Type LM - Extended Implementation must be null.
11085,Record Type BC - Broadcast Call Sign must be null.
11090,Record Type AS - Broadcast Call Sign must be null.
11095,Record Type TA - Consent date must be null.
11100,Record Type TA - Consummation date must be null.
11105,Record Type TA - Consummation Deadline must be null.
11110,Record Type MK - Market Name must be null.
11115,Record Type MK - Coverage-partitioning must be null.
11120,Record Type MK - Celluar Phase ID must be null.
11125,Record Type MK - Population must be null
11130,Record Type MK - Tribal Credit Awarded must be null.
11135,Record Type MK - Additional Tribal Credit Awarded must be null.
11140,Record Type TL - Tribal Land Type must be null.
11145,Record Type AN - Receive Zone Code must be null.
11150,Record Type FR - Frequency Indicator must be null.
11155,Record Type FR - Status must be null.
11160,Record Type RA - Distance to SAB must be null.
11165,Record Type AT - Attachment Date must be null.
11170,"For purposes RO, WD, CA and DU only record types HD, AD and EN are valid"
11175,Record Type HD - call sign must be null for Assignment of Authorization or Transfer of Control
11180,Record Type HD - Radio service code must be AL for Assignment of Authorization or Transfer of Control
11185,Record Type HD - Eligibility Rule Num must be null for Assignment of Authorization or Transfer of Control
11190,Record Type HD - Common Carrier must be null for Assignment of Authorization or Transfer of Control
11195,Record Type HD - Non Common Carrier must be null for Assignment of Authorization or Transfer of Control
11200,"Record Type HD - Private, Internal Communications must be null for Assignment of Authorization or Transfer of Control"
11205,Record Type HD - Fixed must be null for Assignment of Authorization or Transfer of Control
11210,Record Type HD - Mobile must be null for Assignment of Authorization or Transfer of Control
11215,Record Type HD - Radiolocation must be null for Assignment of Authorization or Transfer of Control
11220,Record Type HD - Satellite must be null for Assignment of Authorization or Transfer of Control
11225,Record Type HD - Developmental or STA or Demonstration must be null for Assignment of Authorization or Transfer of Control
11230,Record Type HD - Interconnected Services must be null for Assignment of Authorization or Transfer of Control
11235,Record Type HD - Broadcast Services Regulatory Status must be null for Assignment of Authorization or Transfer of Control
11240,Record Type HD - Broadcast Services Type of Radio Service must be null for Assignment of Authorization or Transfer of Control
11245,Record Type HD - Band Manager Regulatory Service must be null for Assignment of Authorization or Transfer of Control
11250,Record Type AD - Application Fee Exempt must be null for Assignment of Authorization or Transfer of Control
11255,Record Type AD - Application Fee Exempt must be null for Assignment of Authorization or Transfer of Control
11260,Record Type AD - Requested Expiration Date must be null for Assignment of Authorization or Transfer of Control
11265,Record Type AD - Notification Code must be null for Assignment of Authorization or Transfer of Control
11270,Record Type AD - Notification Date must be null for Assignment of Authorization or Transfer of Control
11275,Record Type AD - Expanding Area or Contour must be null for Assignment of Authorization or Transfer of Control
11280,Record Type AD - Number of Requested SID must be null for Assignment of Authorization or Transfer of Control
11285,Record Type AD - Frequency Coordinator Indicator must be null for Assignment of Authorization or Transfer of Control
11290,Record Type AD - Emergency STA must be null for Assignment of Authorization or Transfer of Control
11295,"Record Type AD - Grandfathered, Approved or Integrated must be null for Assignment of Authorization or Transfer of Control"
11300,"Record Type TA - If purpose is Assignment, Full Assignment must be Y or N.  If purpose is Transfer value must be null."
11305,"Record Type TA - Only S, C or O are valid for Method of Accomplishment"
11310,Record Type TA - Method - Other Description must be null since Method of Accomplishment is not O
11315,Record Type TA - Voluntary/Invountary must be V or I.  It cannot be null
11320,Record Type TA - Gross Revenue Year 1 is not a valid money amount
11325,Record Type TA - Gross Revenue Year 2 is not a valid money amount
11330,Record Type TA - Gross Revenue Year 3 is not a valid money amount
11335,Record Type TA - Total Assets is not a valid money amount
11340,Record Type TA - Same small category must be Y or N
11345,Record Type TA - Applying for Installments must be null if Same Small Category is not Y
11350,Record Type TA - Notification of Forebearance must be Y or N
11355,Record Type TA - Wireless Licenses Need Approval must be Y or N
11360,Record Type TA - Non-wireless Licenses Need Approval must be Y or N
11365,Record Type CF - Item Type Indicator must be C for call sign or N for file number
11370,Record Type CF - Item Type Indicator must be C for call sign or N for file number
11375,Record Type CF - Constructed must be Y or N
11380,Record Type CF - Call sign must be valid for application purpose
11385,Record Type MK - Call sign must have corresponding CF record
11390,Record Type MK - Market Code must be null
11395,Record Type MK - Channel block must be null
11400,Record Type MK - Submarket code must be null
11405,Record Type MK - Market code name must be null
11410,"Record Type MK - Coverage Partitioning must be 1, 2 or null"
11415,"Record Type MK - Coverage Disaggregation must be 1, 2, 3 or null"
11420,Record Type MK - Only A or D are valid actions
11425,"Record Type MK - Coverage Partitioning must be 1, 2 or null"
11430,Record Type MK - Tribal Credit Indicator must be null
11435,Record Type MK - Tribal Credit Calculation must be null
11440,Record Type MK - Additional Tribal Credit Requested must be null
11445,Record Type MP - Call sign must have corresponding CF record.
11450,Record Type MP - Either Market Partition Code or Undefined Partition Sequence Number must have a value
11455,Record Type MP - Area to be Partition must be null
11460,Record Type MP - Include Exclude Indicator must be null
11465,Record Type MP - M or null is not a valid action code
11470,Record Type MP - Undefined Partition Sequence Number must be an integer larger than the largest Undefined Partition Sequence Number
11475,Record Type MP - Market Partition Code and Undefined Partition Sequence Number
11480,Record Type MC - Undefined Partition Sequence Number must have corresponding MP record
11485,Record Type MC - The maximum number of coordinates is 120 per undefined partition
11490,Record Type MC - Market Coordinate Sequence Number must be an integer
11495,Record Type MC - Partition Latitude Degrees must be a one or two digit integer
11500,Record Type MC - Partition Latitude Minutes must be a one or two digit integer
11505,Record Type MC - Partition Latitude Seconds must be no more than two digits to the left of the decimal point and 1 digit to the right of the decimal point
11510,Record Type MC - Partition Latitude Direction must be N or S
11515,Record Type MC - Partition Longitude Degrees must be a one or two digit integer
11520,Record Type MC - Partition Longitude Minutes must be a one or two digit integer
11525,Record Type MC - Partition Longitude Seconds must be no more than two digits to the left of the decimal point and 1 digit to the right of the decimal point
11530,Record Type MC - Partition Longitude Direction must be E or W
11535,Record Type MC - Market Coordinate Sequence number must be one greater than the last Market Coordinate Sequence Number if the action is A
11540,Record Type MC - Market Coordinate Sequence number must be equal to an existing Market Coordinate Sequence Number if the action is D
11545,Record Type MC - Only valid Action Performed are A and D
11550,Record Type MF - Market Partition Code must have corresponding MP record
11555,Record Type MF - Lower Frequency cannot be null
11600,Record Type MF - Lower Frequency must be numberic.  Maximum digits on either side of the decimal point is 5.
11605,Record Type MF - Lower Frequency cannot be null
11610,Record Type MF - Lower Frequency must be numberic.  Maximum digits on either side of the decimal point is 5.
11615,Record Type MF - Action Performed valid values are A or D
11620,"Record Type AD - When requesting a waiver, the number of feeable waivers must be provided"
11625,"Record Type AD - If not requesting a waiver, the number of feeable waivers must be null"
11630,Record Type AD - Extended Implementation Plan must be null
11635,Record Type EN - Invalid Entity Type for application purpose
11640,Record Type TA - Pro Forma must be Y or N
11645,Record Type TA - Certifier must include a first and last name
11650,Record Type TA - Transfer Eligibility Category must be null if application purpose is Transfer of Control
11655,Record Type EN - Assignor information must be provided in an EN record
11660,Record Type EN - Assignee information must be provided in an EN record
11665,Record Type EN - Transferor information must be provided in an EN record
11670,Record Type EN - Transferee information must be provided in an EN record
11675,Record Type TA - Invalid record type when application purpose is not AA or TC
11680,Record Type CF - Invalid record type when application purpose is not AA or TC
11685,Record Type MP - Invalid record type when application purpose is not AA or TC
11690,Record Type MC - Invalid record type when application purpose is not AA or TC
11695,Record Type MF - Invalid record type when application purpose is not AA or TC
11700,Record Type MK - Market exists in application and cannot be added twice.
11705,Record Type MK - Must delete call sign using record type CF
11710,Record Type MP - Partition exists in application and cannot be added twice.
11715,Record Type MP - Partition does not exist in application so it cannot be deleted
11720,Record Type MF - Market frequency already exists in application and cannot be added twice.
11725,Record Type MF - Market frequency does not exist in application so it cannot be deleted
11730,Record Type MC - Market coordinate already exists in application and cannot be added twice.
11735,Record Type MC - Market coordinate does not exist in application so it cannot be deleted
11740,Record Type MK - Action of D is invalid if application is not an amendment to an Assignment or Transfer
11745,Record Type MP - Action of D is invalid if application is not an amendment to an Assignment or Transfer
11750,Record Type MC - Action of D is invalid if application is not an amendment to an Assignment or Transfer
11755,Record Type MF - Action of D is invalid if application is not an amendment to an Assignment or Transfer
11760,Tower status is not active
11765,Record Type CF - Only valid actions are A or D
11770,Record Type CF - Call sign previously added; it cannot be added again
11775,Record Type CF - Cannot delete call sign; it is not in original application
11780,Record Type CF - Location number must be null
11785,Record Type CF - Path number must be null
11790,Record Type CF - Frequency Assigned must be null
11795,Record Type CF - Frequency Upper Band must be null
11800,Record Type CF - Number of Mobiles must be null
11805,Record Type MK - Call sign not part of application
11810,Invalid Login. The entered TIN/SGIN combination was not registered prior to 12/3/01. Please register your TIN and obtain an FRN in CORES before continuing.
11815,"The entered TIN has not been registered in CORES.  To register your TIN and obtain a FRN click on the ""Register in CORES"" button below.  Select ""Register and receive your FRN"" on the CORES Home Page."
11820,"Entered TIN has multiple FRNs registered in CORES. You must enter FRN to login to ULS. Click on the ""ULS License Search"" button to find the FRN for a particular call sign. Click on the ""CORES Search"" button to find FRNs registered with the entered TIN."
11825,TIN Login Error.  Contact Technical Support at 202-414-1250 or ulscomm@fcc.gov and report error code 1066.
11830,Invalid Login. Please try again.
11835,TIN registered to multiple FRNs in CORES.  Please file again using FRN.
11840,The Transferor TIN/SGIN combination was not registered prior to the implementation of CORES on 12/3/01. Please register the TIN in CORES to obtain an FRN.
11845,The Transferor TIN has not been registered. Please register the TIN and obtain an FRN in CORES before continuing.
11850,The Transferor TIN is associated with multiple FRNs in CORES. Please enter the FRN you want associated with this transaction.
11855,TIN/FRN discrepancy. Contact Technical Support at (202) 414-1250 or ulscomm@fcc.gov and report error code 1066.
11860,Invalid Transferor TIN or FRN. Please try again.
11865,The Assignee/Transferee TIN/SGIN combination was not registered prior to the implementation of CORES on 12/3/01. Please register the TIN in CORES to obtain an FRN.
11870,The Assignee/Transferee TIN has not been registered. Please register the TIN and obtain an FRN in CORES before continuing.
11875,The Assignee/Transferee TIN is associated with multiple FRNs in CORES. Please enter the FRN you want associated with this transaction.
11880,TIN/FRN discrepancy. Contact Technical Support at (202) 414-1250 or ulscomm@fcc.gov and report error code 1066.
11885,Invalid Assignee/Transferee TIN or FRN. Please try again.
11890,"When fees are required, Individuals cannot be exempt from FCC Application and/or Regulatory Fees pursuant to CFR, Rule 1.1114. Since you are not exempt from Fees, you must remit any applicable fees as shown before the FCC will act upon this application."
11895,You must hold an unexpired amateur license to apply for a Vanity call sign.
11900,Entered TIN has multiple FRNs registered in CORES. You must enter FRN to login. Click on the ASR Registration Search button to find the FRN for a particular ASR number.  Click on the CORES Search button to find the FRNs registered with the entered TIN.
11905,File number cannot be null when application purpose is withdrawal
11910,Four-Letter call sign cannot be specified when radio service is SA (Ship Recreational or Voluntarily Equipped).
11915,Ship Radio Requirement Categories cannot be checked when radio service is SA (Ship Recreational or Voluntarily Equipped).
11920,Gross Tonnage cannot be entered when radio service is SA (Ship Recreational or Voluntarily Equipped).
11925,Length of Ship cannot be entered when radio service is SA (Ship Recreational or Voluntarily Equipped).
11930,Record Type HD - Eligibility Rule Num must be null for this radio service
11935,Record Type AD - Number of Requested SID is only valid for Cellular
11940,Record Type AD - Frequency Coordination is applicable for this radio service
11945,Record Type LO - Site Status is not applicable for this radio service
11950,Record Type LO - Airport ID is not applicable for this radio service
11960,Record Type AN - Antenna Make is not applicable for this radio service
11965,Record Type AN - Antenna Model is not applicable for this radio service
11970,Record Type AN - Tilt is not applicable for this radio service
11975,Record Type AN - Hight Above Average Terrain is not applicable for this radio service
11980,Record Type AN - Diversity height is not applicable for this radio service
11985,Record Type AN - Diversity gain is not applicable for this radio service
11990,Record Type AN - Diversity beam is not applicable for this radio service
11995,Record Type AN - Reflector height is not applicable for this radio service
12000,Record Type AN - Reflector width is not applicable for this radio service
12005,Record Type AN - Reflector separation is not applicable for this radio service
12010,Record Type AN - Passive repeater number is not applicable for this radio service
12015,Record Type AN - Back to back TX dish gain is not applicable for this radio service
12020,Record Type AN - Back to back RX dish gain is not applicable for this radio service
12025,Record Type AN - Location name is not applicable for this radio service
12030,Record Type AN - Passive repeater sequence number is not applicable for this radio service
12035,Record Type AN - Alternative CGSA is not applicable for this radio service
12040,Record Type AN - Path number is not applicable for this radio service
12045,Record Type AN - Line loss is not applicable for this radio service
12050,Record Type FR - Op altitude code is not applicable for this radio service
12055,Record Type FR - Upper frequency band is not applicable for this radio service
12060,Record Type FR - Carrier band is not applicable for this radio service
12065,Record Type FR - Time Begin Operations is not applicable for this radio service
12070,Record Type FR - Time End Operations is not applicable for this radio service
12075,Record Type FR - Tolerance is not applicable for this radio service
12080,Record Type FR - EIRP is not applicable for this radio service
12085,Record Type FR - Transmitter Make is not applicable for this radio service
12090,Record Type FR - Transmitter Model is not applicable for this radio service
12095,Record Type FR - Auto Transmitter Power Control is not applicable for this radio service
12100,Record Type FR - Number of Units is not applicable for this radio service
12105,Record Type FR - Number of Paging Receivers is not applicable for this radio service
12110,Record Type FR - New frequency upper band is not applicable for this radio service
12115,Record Type FR - New frequency carrier is not applicable for this radio service
12120,"Record Type RA - Direction is not valid.  Must be  0, 45, 90, 135, 180, 225, 270, 315"
12125,Record Type EM - Digital Mod Rate is not valid.for this radio service
12130,Record Type EM - Digital Mod Type is not valid.for this radio service
12135,Record Type PC - Radio service or station class is not valid for Points of Communication
12140,Record Type MK - Cellular phase ID is not valid for this radio service
12145,Record Type MK - Only valid values for Cellular phase ID are 1 or 2
12150,Record Type MK - Partitioning coverage must be null if application purpose is not AA
12155,Record Type MK - Disaggregation coverage must be null if application purpose is not AA
12160,Record Type MK - Tribal credit values must be null
12165,Record Type MK - Invalid value for action performed
12170,Record Type SI - Invalid value for action performed
12175,Record Type SI - System Identification Numbers must be numeric
12180,Record Type LO - Only valid location type for this radio service is F
12185,Record Type LO - Corresponding Location is invalid for this radio service
12190,Record Type LO - Radius of operation is invalid for this radio service
12195,Record Type LO - Radius of operation is invalid for this radio service
12205,Record Type LO - Units hand held is invalid for this radio service
12210,Record Type LO - Units mobile is invalid for this radio service
12215,Record Type LO - Units temp fixed is invalid for this radio service
12220,Record Type LO - Units aircraft is invalid for this radio service
12225,Record Type LO - Units itinerant is invalid for this radio service
12230,"Record Type CG - Station available must be Y, N or null"
12235,"Record Type CG - Public Correspondence must be Y, N or null"
12240,Record Type CG - Station Identifier only valid for AR
12245,Record Type CG - Aeronautical Enroute Call Sign only valid for AX
12250,"Record Type CG - Seeking Authorization must be Y, N or null"
12255,"Record Type CG - Regularly Engaged must be Y, N or null"
12260,"Record Type CG - Engaged must be Y, N or null"
12265,"Record Type CG - Public Mooring must be Y, N or null"
12270,"Record Type CG - Servicing must be Y, N or null"
12275,"Record Type CG - Fixed Station must be Y, N or null"
12280,"Record Type CG - Maritime Support must be Y, N or null"
12285,"Record Type CG - Aeronautical Fixed must be Y, N or null"
12290,"Record Type CG - Unicom must be Y, N or null"
12295,"Record Type CG - Search and Rescue must be Y, N or null"
12300,"Record Type CG - Flight Test UHF must be Y, N or null"
12305,"Record Type CG - Flight Test Manufacturer must be Y, N or null"
12310,"Record Type CG - Flight Test Parent Corporation must be Y, N or null"
12315,"Record Type CG - Flight Test Educational must be Y, N or null"
12320,"Record Type CG - Flight School Certification must be Y, N or null"
12325,"Record Type CG - Lighter Than Air must be Y, N or null"
12330,"Record Type CG - Ballooning must be Y, N or null"
12335,"Record Type CG - Located At Airport must be Y, N or null"
12340,"Record Type CG - Radiodetermination Not FAA must be Y, N or null"
12345,"Record Type CG - Radiodetermination Equipment must be Y, N or null"
12350,"Record Type CG - Radiodetermination Public must be Y, N or null"
12355,"Record Type CG - Radiodetermination ELTs must be Y, N or null"
12360,"Record Type CG - Civil Air Patrol must be Y, N or null"
12365,"Record Type CG - Aeronautical Enroute must be Y, N or null"
12370,"Record Type CG - Mobile Routine must be Y, N or null"
12375,"Record Type CG - Mobile Owner/Operator must be Y, N or null"
12380,"Record Type CG - Mobile Agreement must be Y, N or null"
12385,Record Type CL - Phase must be the number 1 or 2 or null
12390,Facility ID is required
12395,Record Type BC - Facility ID is required
12400,Facility ID must be a number
12405,Record Type BC - Facility ID must be a number
12410,Facility ID not valid
12411,Facility not valid.
12412,Incorrect Facility for the selected radio service code.
12415,Record Type BC - Facility ID not valid
12420,Record Type BC not valid for this application type and/or radio service
12425,Record Type LO - Corresponding Location is not valid for receivers or passive repeaters
12430,Record Type LO - Location address is not valid for receivers or passive repeaters
12435,Record Type LO - City is not valid for receivers or passive repeaters
12440,Record Type LO - County  is not valid for receivers or passive repeaters
12445,Record Type LO - State is not valid for receivers or passive repeaters
12450,Record Type LO - Radius is not valid for receivers or passive repeaters
12455,Record Type LO - Area of Operation is not valid for receivers or passive repeaters
12460,Record Type LO - Clearance Indicator is not valid for receivers or passive repeaters
12465,Record Type LO - Maximum Latitude Degrees is not valid for receivers or passive repeaters
12470,Record Type LO - Maximum Latitude Minutes is not valid for receivers or passive repeaters
12475,Record Type LO - Maximum Latitude Seconds is not valid for receivers or passive repeaters
12480,Record Type LO - Maximum Latitude Direction is not valid for receivers or passive repeaters
12485,Record Type LO - Maximum Longitude Degrees is not valid for receivers or passive repeaters
12490,Record Type LO - Maximum Longitude Minutes is not valid for receivers or passive repeaters
12495,Record Type LO - Maximum Longitude Seconds is not valid for receivers or passive repeaters
12500,Record Type LO - Maximum Longitude Direction is not valid for receivers or passive repeaters
12505,Record Type LO - NEPA is not valid for receivers
12510,Record Type LO - Quiet Zone Notification is not valid for receivers or passive repeaters
12515,Record Type LO - Tower registration number/file number is not valid for receivers.
12520,Record Type LO - Height of Support Structure is not valid for receivers or passive repeaters
12525,Record Type LO - Overall Height of Structure is not valid for receivers or passive repeaters
12530,Record Type LO - Structure type is not valid for receivers or passive repeaters
12535,Record Type LO - Airport ID is not valid for receivers or passive repeaters
12540,Record Type LO - Units Hand Held is not valid for receivers or passive repeaters
12545,Record Type LO - Units Mobile is not valid for receivers or passive repeaters
12550,Record Type LO - Units Temp Fixed is not valid for receivers or passive repeaters
12555,Record Type LO - Units Aircraft is not valid for receivers or passive repeaters
12560,Record Type LO - Units Itinerant is not valid for receivers or passive repeaters
12565,Record Type LO - Site Status is not valid for receivers or passive repeaters
12570,Record Type HD - Eligibility Rule is invalid for application purpose
12575,Record Type EN - Applicant Type Code is invalid for application purpose
12580,Record Type HD - Alien is invalid for application purpose
12585,Record Type HD - Alien Government is invalid for application purpose
12590,Record Type HD - Alien Corporation is invalid for application purpose
12595,Record Type HD - Alien Officer is invalid for application purpose
12600,Record Type HD - Alien Control is invalid for application purpose
12605,Record Type HD - Revoked is invalid for application purpose
12610,Record Type HD - Convicted  is invalid for application purpose
12615,Record Type HD - Adjudged is invalid for application purpose
12620,Record Type HD - Involved is invalid for application purpose
12625,Record Type HD - Common Carrier is invalid for application purpose
12630,Record Type HD - Non Common Carrier is invalid for application purpose
12635,Record Type HD - Private Comm is invalid for application purpose
12640,Record Type HD - Fixed is invalid for application purpose
12645,Record Type HD - Mobile is invalid for application purpose
12650,Record Type HD - Radiolocation is invalid for application purpose
12655,Record Type HD - Satellite is invalid for application purpose
12660,Record Type HD - Development or STA or Demonstration is invalid for application purpose
12665,Record Type HD - Interconnected Service is invalid for application purpose
12670,Record Type HD - Broadcast Services Regulatory Status is invalid for application purpose
12675,Record Type HD - Band Manager Regulatory Status is invalid for application purpose
12680,Record Type HD - Broadcast Services Type of Radio Service is invalid for application purpose
12685,Record Type CF - A new call sign cannot be added on an amendment to an NT or EX
12690,Filename is a duplicate of earlier filename so this application was not processed
12695,Record Type EM - emission can only be six characters if service is Land Mobile and the first three characters are N0N or P0N
12700,Record Type EM - emission code cannot be null
12705,Record Type EM - emission code cannot be greater than seven characters
12710,Record Type BC - Incorrect Facility for Selected Radio Service
12715,Record Type BC - Facility status not valid
12720,Record Type BC - Parent Facility cannot be changed
12800,Custom expiration date must be a valid month/date.
12801,You must select an Applicant Type.
12802,You must enter Street Address or P.O. Box.
12803,You must enter City.
12804,You must select a State.
12805,You must enter a valid Zip Code.
12806,Phone Number value is invalid.
12807,Fax Number value is invalid.
12808,You must select a General Ship Class.
12809,You must select a Specific Ship Class.
12810,You must enter Ship Name.
12811,"Official Number of Ship must begin with either a valid two-character state code or 0, 1, 2, 5, 6, or 9 followed by numerics."
12812,You must indicate if the ship will make international voyages.
12813,You must indicate if the ship will communicate with foreign coast stations.
12814,"You must indicate if the Title III, Part II of the Communications Act radiotelegraph requirement applies to your vessel."
12815,"You must indicate if the Title III, Part II of the Communications Act or Safety Convention radiotelegraph requirement applies to your vessel."
12816,"You must indicate if the Title III, Part III of the Communications Act radiotelegraph requirement applies to your vessel."
12817,You must indicate if the Great Lakes Radio Agreement radiotelegraph requirement applies to your vessel.
13000,You must select the radio service code for the new license.
13001,You must indicate if the ship for which you are applying has already been assigned a four letter call sign.  Select Yes or No.
13002,You must enter the four letter call sign if applying for a ship that has already been assigned a four letter call sign.
13003,Four letter call sign must be 4 alpha characters beginning with K or W.
13004,Four letter call sign must be a valid Ship call sign.
13005,Record Type LO - Rectangular coordinate is only valid when area of operation is rectangular
13010,Record Type CF - Action performed cannot be null
13011,Recort Type CF - Location Number must be numeric
13012,Recort Type CF - Path Number must be numeric
13013,Recort Type CF - Frequency Assigned must be numeric
13014,Recort Type CF - Frequency Upper Band must be numeric
13015,Recort Type CF - Number of Mobiles must be numeric
13016,Call Sign cannot be selected for both Partial and Full Assignment.
13017,Application contains duplicate Partial Assignment data.
13018,There is already an amendment for this file number in pending status 1
13019,Record Type HD - At least one Regulatory Status must be Y
13020,Duplicate filename.  File not processed.
13021,You have deleted a fixed location which has one or more mobile locations that operate around it.  Please delete each mobile location or change its corresponding fixed location.
13023,You must indicate if the Vessel Bridge-to-Bridge Radiotelephone Act radiotelegraph requirement applies to your vessel.
13024,You must enter gross tonnage of the vessel.
13025,You must enter the length (in meters) of the vessel.
13026,You must enter a valid receipt date.
13027,You must indicate if you are required by law or treaty to carry a radio on your vessel.
13028,You must indicate if your vessel will travel to foreign ports.
13029,"You must indicated if you use marine radio equipment other than marine VHF radios, EPIRBs, and radar."
13030,You must select a Ship License Type.
13031,You must indicate if you have Radiotelegraph on your vessel and require the FCC to assign a Morse working series.
13032,You must indicate if you need an MMSI Number to be assigned for this Ship license.
13033,"MMSI Number must be nine digits beginning with 303, 338, 366, 367, or 368."
13034,You must enter number of ships in fleet. Value must be > 1.
13035,The FCC encourages you to enter all Search and Rescue Contact information. This information will assist U.S. Coast Guard in search and rescue operations.
13036,The FCC recommends that you provide the street address of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13037,The FCC recommends that you provide the city of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13038,The FCC recommends that you provide the U.S. state of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13039,The FCC recommends that you provide the zip code or postal code of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13040,The FCC recommends that you provide the country of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13041,The FCC recommends that you provide the telephone number of the Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13042,The FCC recommends that you provide the individual name of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13043,The FCC recommends that you provide the street address of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13044,The FCC recommends that you provide the city of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13045,The FCC recommends that you provide the U.S. state of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13046,The FCC recommends that you provide the zip code or postal code of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13047,The FCC recommends that you provide the country of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13048,The FCC recommends that you provide the telephone number of the Alternative Emergency Contact Person Ashore. This information will assist the U.S. Coast Guard in search and rescue operations.
13049,The FCC recommends that you provide the identification number of the Emergency Position Indicating Radio Beacon (EPIRB). This information will assist the U.S. Coast Guard in search and rescue operations.
13050,The FCC recommends that you identify the radio installations aboard the survival craft.  This information will assist the U.S. Coast Guard in search and rescue operations.
13052,You must indicate if you will be making international flights or communicating with foreign stations.
13053,You must select a request type.
13054,You must indicate if the applicant is exempt from FCC application fees.
13055,You must indicate if the applicant is exempt from FCC regulatory fees.
13056,You must indicate if the application is for a Fleet license.
13057,You must enter the number of aircraft in fleet. Value must be > 1.
13058,You must indicate if the application is for a Portable license.
13059,Do not enter the leading 'N' when entering FAA N-Number.
13060,You must select the classification of the aircraft.
13061,You must indicate if your mailing address is outside of the United States.
13062,You must enter Date of Birth in MM/DD/YYYY format.
13063,You must enter Individual First Name and Last Name.
13064,You must enter Street Address.
13065,You must enter Postal Code.
13066,You must select Country.
13067,You must indicate if you are eligible for employment in the U.S.
13068,Review and check the Certification for Restricted Radiotelephone Operator Permit.
